MODE, N, BUBBLE, QUICK, MERGE, HEAP, INSERTION, COUNTING
REVERSE, 28000, 1.52587890625e-05, 1.0967254638671875e-05, 1.0013580322265625e-05, 1.0967254638671875e-05, 1.0013580322265625e-05, 0.0007238388061523438
REVERSE, 29000, 1.5974044799804688e-05, 1.1920928955078125e-05, 1.1205673217773438e-05, 1.0967254638671875e-05, 1.0967254638671875e-05, 0.0007789134979248047
REVERSE, 30000, 1.6927719116210938e-05, 1.1920928955078125e-05, 1.1205673217773438e-05, 1.0967254638671875e-05, 1.1920928955078125e-05, 0.0008478164672851562
REVERSE, 31000, 1.811981201171875e-05, 1.2874603271484375e-05, 1.1205673217773438e-05, 1.1920928955078125e-05, 1.1920928955078125e-05, 0.0008399486541748047
REVERSE, 32000, 1.9073486328125e-05, 1.4066696166992188e-05, 1.1920928955078125e-05, 1.2159347534179688e-05, 1.2874603271484375e-05, 0.0008728504180908203
REVERSE, 33000, 2.002716064453125e-05, 1.5020370483398438e-05, 1.1920928955078125e-05, 1.2159347534179688e-05, 1.3828277587890625e-05, 0.0009541511535644531
REVERSE, 34000, 2.1696090698242188e-05, 1.621246337890625e-05, 1.3113021850585938e-05, 1.2874603271484375e-05, 1.5020370483398438e-05, 0.0008718967437744141
REVERSE, 35000, 2.3126602172851562e-05, 1.621246337890625e-05, 1.2874603271484375e-05, 1.4066696166992188e-05, 1.5020370483398438e-05, 0.0009717941284179688
REVERSE, 36000, 2.4080276489257812e-05, 2.3126602172851562e-05, 1.2874603271484375e-05, 1.4066696166992188e-05, 1.5020370483398438e-05, 0.0010488033294677734
REVERSE, 37000, 2.5272369384765625e-05, 1.6927719116210938e-05, 1.4066696166992188e-05, 1.4781951904296875e-05, 1.71661376953125e-05, 0.001024007797241211
REVERSE, 38000, 2.7179718017578125e-05, 1.9073486328125e-05, 1.4066696166992188e-05, 1.4781951904296875e-05, 1.8358230590820312e-05, 0.001035928726196289
REVERSE, 39000, 2.8133392333984375e-05, 1.8835067749023438e-05, 1.4066696166992188e-05, 1.5020370483398438e-05, 2.002716064453125e-05, 0.0011949539184570312
REVERSE, 40000, 3.1948089599609375e-05, 2.193450927734375e-05, 1.5974044799804688e-05, 1.6927719116210938e-05, 1.9311904907226562e-05, 0.0010879039764404297
REVERSE, 41000, 3.0994415283203125e-05, 2.09808349609375e-05, 1.5974044799804688e-05, 1.6927719116210938e-05, 2.09808349609375e-05, 0.0011513233184814453
REVERSE, 42000, 4.100799560546875e-05, 2.4080276489257812e-05, 1.6689300537109375e-05, 1.7881393432617188e-05, 2.193450927734375e-05, 0.0012400150299072266
REVERSE, 43000, 3.409385681152344e-05, 2.3126602172851562e-05, 1.5735626220703125e-05, 1.7881393432617188e-05, 2.3126602172851562e-05, 0.0011780261993408203
REVERSE, 44000, 3.504753112792969e-05, 2.4080276489257812e-05, 1.6689300537109375e-05, 1.9311904907226562e-05, 2.3126602172851562e-05, 0.0011570453643798828
REVERSE, 45000, 3.790855407714844e-05, 2.5033950805664062e-05, 1.6927719116210938e-05, 1.8835067749023438e-05, 2.5033950805664062e-05, 0.0013151168823242188
REVERSE, 46000, 3.886222839355469e-05, 2.5987625122070312e-05, 1.811981201171875e-05, 2.002716064453125e-05, 2.574920654296875e-05, 0.0012781620025634766
REVERSE, 47000, 4.410743713378906e-05, 2.7179718017578125e-05, 1.7881393432617188e-05, 2.002716064453125e-05, 2.6941299438476562e-05, 0.0012869834899902344
REVERSE, 48000, 4.1961669921875e-05, 2.7894973754882812e-05, 1.6689300537109375e-05, 1.811981201171875e-05, 2.6226043701171875e-05, 0.0013799667358398438
REVERSE, 49000, 4.410743713378906e-05, 2.8133392333984375e-05, 1.6927719116210938e-05, 1.8835067749023438e-05, 2.7179718017578125e-05, 0.001374959945678711
REVERSE, 50000, 4.6253204345703125e-05, 2.9802322387695312e-05, 2.002716064453125e-05, 2.09808349609375e-05, 3.123283386230469e-05, 0.0014269351959228516
ORDERED, 1000, 9.5367431640625e-07, 0.0, 0.0, 9.5367431640625e-07, 0.0, 1.1920928955078125e-06
ORDERED, 2000, 0.0, 9.5367431640625e-07, 0.0, 0.0, 0.0, 1.1920928955078125e-06
ORDERED, 3000, 0.0, 9.5367431640625e-07, 9.5367431640625e-07, 1.1920928955078125e-06, 0.0, 2.8848648071289062e-05
